"","age","I_30250","I_30400","I_30550","I_40250","I_40400","I_40550","I_50250","I_50400","I_50550","interception","Ckat_Tracing","Ckat_aiming","Ckat_Tracking","Open","Closed","Attainment_Maths"
"55",6.592744695,1,4,1,4,3,4,4,5,4,30,1.322067563,1.5272,19.7296085,7.056845,8.125279,5
"56",7.181382615,4,2,2,3,2,3,2,4,2,24,1.577573185,2.0324,16.829607,6.036257,10.159476,3
"57",7.192334018,2,0,1,0,3,0,4,3,1,14,1.864065457,1.957,19.259426,4.675513,7.5722,3
"58",6.948665298,5,2,4,4,5,1,3,3,5,32,1.35706569,1.8714,14.8085305,24.895438,11.484725,4
"59",7.498973306,4,5,3,5,6,5,6,4,4,42,1.455101885,1.8366,8.250108,7.24912,4.359511,6
"60",7.277207392,2,4,2,5,3,5,5,6,5,37,1.357686352,1.4418,8.7318655,2e-06,0.009208,5
"61",7.123887748,3,2,4,4,4,3,5,4,2,31,1.694501021,1.5402,11.2838105,6.659321,3.046847,6
"62",6.617385352,2,3,2,5,3,1,5,4,2,27,1.231330817,2.1278,53.5338585,5.743261,3.011819,3
"63",7.389459274,6,3,1,2,4,2,6,3,3,30,1.661050192,1.4892,11.4413325,1.092972,1.360147,4
"64",6.622861054,4,5,5,4,5,4,6,3,2,38,1.33680968,2.0364,10.4690065,18.795851,36.878431,6
"65",7.008898015,1,3,1,4,3,3,5,2,2,24,1.492612202,1.4396,13.3996655,2.774293,2.529854,5
"66",6.841889117,4,1,2,4,3,1,4,6,5,30,1.635515876,1.9942,13.850796,0.891398,0.732495,5
"67",7.293634497,2,3,2,1,3,3,6,2,5,27,1.190936627,1.5458,11.6790965,3.220921,2.481632,5
"68",7.345653662,6,3,2,2,3,5,6,6,4,37,1.620028041,1.6122,14.9233555,0.53471,1.382119,6
"69",7.151266256,4,3,1,4,3,1,4,3,2,25,1.409984374,2.0084,17.1484365,6.246467,4.836573,5
"70",6.639288159,1,2,1,3,2,1,4,4,2,20,1.95274293,1.7564,23.3204605,8.164592,6.45669,2
"71",7.266255989,3,2,1,2,3,1,5,4,3,24,1.044129593,1.9628,19.9980495,1.295599,1.2377,6
"72",7.030800821,3,1,4,2,3,1,5,4,1,24,1.287433793,1.7666,16.6224805,9.882615,6.612488,5
"73",7.052703628,1,1,2,2,2,3,4,3,1,19,1.28860511,1.7156,18.8953885,1.607676,1.087827,5
"74",6.880219028,3,3,4,4,5,4,6,5,4,38,1.987920284,1.8228,14.85234,7.790665,3.115966,5
