participant,I_30250,I_30400,I_30550,I_40250,I_40400,I_40550,I_50250,I_50400,I_50550,interception,Open,Closed,age,Ckat_Tracking,Ckat_aiming,Ckat_Tracing,Attainment_Maths,Attainment_Reading,Attainment_Writing
245,5,3,3,2,6,5,3,5,3,35,105.599901,9.92031,9.587953457,14.0990355,,1.578490331,9,8,7
246,3,1,3,4,4,5,4,6,4,34,27.657369,14.075525,10.00684463,39.8197035,1.6388,1.193118196,10,9,9
247,5,2,3,3,2,3,6,4,3,31,1.62095,0.769361,10.22587269,9.873016,1.4248,0.847186508,9,9,8
248,2,3,3,2,4,3,5,5,5,32,29.413424,20.125924,9.771389459,15.0965785,1.9186,2.854676244,5,2,3
249,5,6,3,6,4,6,6,6,5,47,4.046072,4.435851,10.49965777,10.380991,1.4462,1.618348197,5,4,5
250,4,4,2,6,5,3,6,4,5,39,1.224866,3.849075,10.48596851,17.6421895,1.663,1.031398671,10,10,9
251,3,0,2,3,1,4,6,3,2,24,1.154556,1.972368,10.31895962,8.1564135,1.3104,1.00407091,11,11,10
252,6,4,4,4,5,2,4,5,4,38,1.62901,4.085556,9.522245038,10.128986,1.4272,0.992860406,10,9,9
253,4,2,1,4,4,2,4,5,1,27,3.227674,7.788864,10.4476386,10.7137565,1.2552,1.003300896,10,10,9
254,1,2,2,0,3,3,3,5,4,23,0.704298,1.80312,9.812457221,11.850813,,1.202257737,9,9,9
255,4,2,3,5,3,3,6,6,5,37,4.923224,1.819018,9.650924025,21.1621285,1.1932,0.990890009,9,9,9
256,3,4,4,2,2,2,6,3,1,27,3.080581,4.279813,9.900068446,14.1995335,1.6228,1.515354217,9,9,10
257,3,4,4,4,5,3,5,5,4,37,0.587589,1.472064,10.36002738,8.452493,,1.42894016,5,4,4
258,5,3,5,4,5,4,5,5,4,40,21.420629,40.278471,10.14647502,12.552109,1.4402,,9,6,7
259,4,5,3,4,4,5,6,3,6,40,1.613742,1.347644,9.968514716,8.6751675,1.4074,0.923469445,9,10,10
260,4,2,5,4,3,4,4,5,2,33,1.121712,1.106787,10.33264887,9.140907,1.2672,1.494650388,8,8,8
261,3,5,2,3,4,4,4,4,3,32,1.837712,2.790541,10.31348392,18.390969,1.4876,1.356599651,8,7,8
262,2,0,1,2,1,5,4,2,2,19,6.33107,2.768845,9.828884326,10.9745375,1.3872,1.084015467,10,11,10
263,3,2,2,2,1,1,3,1,3,18,4.485681,4.819968,9.549623546,17.4367315,2.3844,3.031428106,6,7,8
264,5,4,3,3,5,2,5,3,5,35,3.664205,9.06702,10.4202601,8.4763905,1.287,1.375700574,9,7,8
265,4,2,1,1,4,2,5,4,5,28,8.644908,15.039923,9.861738535,14.080821,1.766,1.615190739,4,2,3
266,4,5,4,4,4,4,6,4,5,40,2.198383,1.667211,10.41478439,7.615368,1.1292,0.999155789,11,11,10
267,2,4,3,3,4,4,2,4,5,31,5.342644,2.947806,9.87816564,54.275218,1.8262,2.301011501,7,4,5
268,3,3,0,3,3,4,5,5,4,30,1.262308,2.144161,10.2477755,11.6381955,1.7112,1.365558811,8,7,8
269,4,3,4,4,3,5,5,3,4,35,2.988165,4.230074,9.905544148,9.1799255,1.4996,1.463320275,9,9,9
270,3,2,1,3,2,2,5,2,3,23,1.003827,1.051866,9.941136208,10.806409,1.2896,1.506786685,6,7,8
271,4,5,6,4,4,6,5,3,3,40,0.646586,1.020234,9.995893224,11.5441385,1.6766,1.349721855,7,7,8
272,4,2,2,4,4,6,5,5,3,35,5.991466,1.962926,9.905544148,8.2017675,1.3322,,6,6,6
273,3,3,0,3,3,4,5,2,2,25,1.468929,1.127308,10.2477755,12.266956,1.3786,1.08743612,10,11,9
274,3,2,2,2,5,2,5,6,3,30,1.105726,1.190567,10.34086242,8.2384545,1.4338,0.763643093,,,
275,2,2,1,0,2,5,4,3,4,23,1.104771,0.573714,10.31622177,9.541239,1.266,1.277972522,8,8,8
276,3,3,5,3,4,1,5,5,2,31,2.080974,0.583544,9.839835729,10.5094805,1.3042,0.962140244,9,9,9
277,3,3,3,4,1,3,4,3,2,26,5.348813,3.512198,10.44490075,15.8263095,1.2714,1.069180978,8,8,8
278,3,2,1,3,0,3,3,3,4,22,4.273808,23.873575,9.905544148,19.716657,,,8,8,8
279,5,2,3,4,5,1,5,6,1,32,2.195847,4.002822,10.15742642,12.400804,1.2856,1.085503778,8,7,7
280,6,5,2,3,4,2,6,3,3,34,1.04802,0.571273,10.30800821,12.5131435,1.5498,1.058614598,10,10,8
281,3,3,2,3,3,2,5,4,4,29,3.982007,4.654593,9.834360027,11.27375,1.6872,1.325130145,9,9,9
